NUMBER,GAS_USED,TXS,TIMESTAMP
239103,73038000,3478,1614074070
239104,22386000,1066,1614074072
239105,44709000,2129,1614074078
239106,61761000,2941,1614074088
239107,46389000,2209,1614074107
239108,16905000,805,1614074109
239109,33621000,1601,1614074113
239110,21420000,1020,1614074116
239111,38997000,1857,1614074121
239112,45003000,2143,1614074126
239113,48552000,2312,1614074132
239114,59598000,2838,1614074142
239115,15834000,754,1614074144
239116,85050000,4050,1614074155
239117,18165000,865,1614074158
239118,69342000,3302,1614074166
239119,38808000,1848,1614074174
239120,69342000,3302,1614074187
239121,0,0,1614074189
239122,85932000,4092,1614074205
239123,10038000,478,1614074233
239124,64722000,3082,1614074241
239125,43428000,2068,1614074274
239126,45192000,2152,1614074281
239127,40110000,1910,1614074309
239128,60795000,2895,1614074321
239129,19467000,927,1614074326
239130,25725000,1225,1614074329
239131,59388000,2828,1614074349
239132,47271000,2251,1614074359
239133,24423000,1163,1614074363
239134,61761000,2941,1614074375
239135,10038000,478,1614074376
239136,57015000,2715,1614074383
239137,38997000,1857,1614074400
239138,49854000,2374,1614074407
239139,55314000,2634,1614074418
239140,46914000,2234,1614074430
239141,10983000,523,1614074434
239142,78330000,3730,1614074444
239143,29820000,1420,1614074463
239144,57330000,2730,1614074486
239145,22911000,1091,1614074494
239146,25452000,1212,1614074497
239147,34335000,1635,1614074501
239148,35595000,1695,1614074505
239149,49917000,2377,1614074523
239150,12957000,617,1614074525
239151,9072000,432,1614074526
239152,76650000,3650,1614074555
239153,14322000,682,1614074567
239154,85050000,4050,1614074580
239155,17115000,815,1614074591
239156,81942000,3902,1614074605
239157,15561000,741,1614074630
239158,69552000,3312,1614074640
239159,20874000,994,1614074653
239160,70350000,3350,1614074674
239161,21987000,1047,1614074682
239162,42063000,2003,1614074688
239163,43890000,2090,1614074714
239164,41160000,1960,1614074743
239165,44541000,2121,1614074756
239166,22449000,1069,1614074760
239167,62685000,2985,1614074786
239168,23016000,1096,1614074788
239169,83139000,3959,1614074798
239170,25011000,1191,1614074815
239171,29904000,1424,1614074819
239172,58800000,2800,1614074831
239173,22050000,1050,1614074840
239174,33600000,1600,1614074844
239175,52164000,2484,1614074863
239176,36939000,1759,1614074868
239177,48552000,2312,1614074884
239178,33033000,1573,1614074890
239179,52290000,2490,1614074906
239180,18375000,875,1614074909
239181,11949000,569,1614074910
239182,73983000,3523,1614074932
239183,34167000,1627,1614074951
239184,51450000,2450,1614074965
239185,43470000,2070,1614074974
239186,50694000,2414,1614074982
239187,26376000,1256,1614074986
239188,51891000,2471,1614074992
239189,23835000,1135,1614074995
239190,61740000,2940,1614075026
239191,14259000,679,1614075028
239192,70959000,3379,1614075056
239193,21588000,1028,1614075059
239194,48888000,2328,1614075065
239195,26670000,1270,1614075068
239196,39585000,1885,1614075073
239197,68565000,3265,1614075081
239198,17367000,827,1614075096
239199,36393000,1733,1614075101
239200,49161000,2341,1614075115
239201,53676000,2556,1614075126
239202,54474000,2594,1614075138
239203,30954000,1474,1614075168
239204,61593000,2933,1614075178
239205,22911000,1091,1614075185
239206,15141000,721,1614075187
239207,74571000,3551,1614075213
239208,29400000,1400,1614075235
239209,22071000,1051,1614075240
239210,63819000,3039,1614075252
239211,44331000,2111,1614075269
239212,63420000,3020,1614075292
239213,22428000,1068,1614075321
239214,66759000,3179,1614075330
239215,23856000,1136,1614075346
239216,10353000,493,1614075347
239217,17871000,851,1614075349
239218,67431000,3211,1614075362
239219,11865000,565,1614075364
239220,29358000,1398,1614075368
239221,72912000,3472,1614075376
239222,16254000,774,1614075378
239223,32739000,1559,1614075382
239224,75411000,3591,1614075393
239225,25830000,1230,1614075402
239226,31500000,1500,1614075408
239227,60018000,2858,1614075419
239228,48132000,2292,1614075436
239229,60018000,2858,1614075453
239230,48132000,2292,1614075460
239231,37149000,1769,1614075465
239232,48132000,2292,1614075508
239233,37506000,1786,1614075514
239234,54894000,2614,1614075522
239235,40887000,1947,1614075529
239236,7854000,374,1614075530
239237,49518000,2358,1614075536
239238,37359000,1779,1614075554
239239,12033000,573,1614075555
239240,85428000,4068,1614075566
239241,22722000,1082,1614075589
239242,56784000,2704,1614075598
239243,28644000,1364,1614075603
239244,56574000,2694,1614075620
239245,46032000,2192,1614075636
239246,62118000,2958,1614075680
239247,9429000,449,1614075685
239248,80808000,3848,1614075695
239249,23751000,1131,1614075698
239250,71379000,3399,1614075707
239251,15456000,736,1614075720
239252,13902000,662,1614075722
239253,21672000,1032,1614075724
239254,43092000,2052,1614075730
239255,50673000,2413,1614075736
239256,34419000,1639,1614075766
239257,65772000,3132,1614075787
239258,30702000,1462,1614075791
239259,67410000,3210,1614075799
239260,32634000,1554,1614075837
239261,45864000,2184,1614075846
239262,62286000,2966,1614075864
239263,31164000,1484,1614075872
239264,15624000,744,1614075874
239265,15435000,735,1614075876
239266,69615000,3315,1614075890
239267,24654000,1174,1614075902
239268,48258000,2298,1614075909
239269,44478000,2118,1614075922
239270,40950000,1950,1614075954
239271,66612000,3172,1614075967
239272,588000,28,1614075971
239273,85155000,4055,1614076018
239274,22407000,1067,1614076035
239275,9219000,439,1614076036
239276,10479000,499,1614076037
239277,43995000,2095,1614076042
239278,19929000,949,1614076045
239279,11928000,568,1614076046
239280,8148000,388,1614076047
239281,77574000,3694,1614076069
239282,30576000,1456,1614076074
239283,50862000,2422,1614076081
239284,16149000,769,1614076083
239285,9261000,441,1614076084
